EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
117367,1728754,REGULAR,TACO LUCHADOR,,10305 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2023/01/13 05:00:00+00,100,A,TACO LUCHADOR,,10997
116819,1710899,OTHER,LSM FULL AREPA KY,,1001 LOGAN ST STE 109,,LOUISVILLE,KY,40204,FOOD SERVICE,2022/09/14 04:00:00+00,100,,LSM FULL AREPA KY,,10998
116563,1704207,FOLLOWUP,CAPUANO'S PIZZA,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022/09/22 04:00:00+00,0,,CAPUANO'S PIZZA,,10999
116981,1721469,REGULAR,SNOW FRUIT @ KROGER L-346,,3039 BRECKENRIDGE LN,,LOUISVILLE,KY,40220,FOOD SERVICE,2022/12/06 05:00:00+00,99,A,SNOW FRUIT @ KROGER L-346,,11000
117491,1731371,OTHER,CITY BBQ,,4027 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,FOOD SERVICE,2023/01/20 05:00:00+00,100,,CITY BBQ,,11001
117368,1738750,REGULAR,INKREDIBLE'S,,1800 W HILL ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2023/03/01 05:00:00+00,97,A,INKREDIBLE'S,,11002
116819,1712754,REGULAR,LSM FULL AREPA KY,,1001 LOGAN ST STE 109,,LOUISVILLE,KY,40204,FOOD SERVICE,2022/10/27 04:00:00+00,99,A,LSM FULL AREPA KY,,11003
116563,1709673,REGULAR,CAPUANO'S PIZZA,,,,LOUISVILLE,KY,40209,TEMPORARY FOODS,2022/09/22 04:00:00+00,99,,CAPUANO'S PIZZA,,11004
116982,1720922,REGULAR,FRIENDLY MART VALERO,,3741 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40299,PRE-PACKAGED RETAIL,2022/12/05 05:00:00+00,95,,FRIENDLY MART VALERO,,11005
117491,1738503,REGULAR,CITY BBQ,,4027 POPLAR LEVEL RD,,LOUISVILLE,KY,40213,FOOD SERVICE,2023/02/28 05:00:00+00,97,A,CITY BBQ,,11006
117368,1728588,OTHER,INKREDIBLE'S,,1800 W HILL ST,,LOUISVILLE,KY,40210,FOOD SERVICE,2022/12/29 05:00:00+00,99,,INKREDIBLE'S,,11007
116820,1710903,OTHER,MIAS INTERNATIONAL PLUS,,7317 ST ANDREWS CHURCH RD,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2022/09/22 04:00:00+00,100,,MIAS INTERNATIONAL PLUS,,11008
116565,1703398,OTHER,GREEN MARKET,,3401 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2022/08/24 04:00:00+00,99,,GREEN MARKET,,11009
116982,1716290,COMPLAINT,FRIENDLY MART VALERO,,3741 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40299,PRE-PACKAGED RETAIL,2022/10/20 04:00:00+00,0,,FRIENDLY MART VALERO,,11010
117496,1731655,OTHER,JP'S OUTDOOR KITCHEN,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2023/01/27 05:00:00+00,99,,JP'S OUTDOOR KITCHEN,,11011
117374,1728682,OTHER,SOUL FIRE COMPANY,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2023/01/13 05:00:00+00,99,,SOUL FIRE COMPANY,,11012
117413,1735140,REGULAR,YELLOW CACTUS,,2350 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,2023/02/14 05:00:00+00,99,A,YELLOW CACTUS,,11013
117413,1729482,OTHER,YELLOW CACTUS,,2350 FRANKFORT AVE,,LOUISVILLE,KY,40206,FOOD SERVICE,2023/01/04 05:00:00+00,97,,YELLOW CACTUS,,11014
117438,1730253,OTHER,PIC PAC,,9304 BLUE LICK RD,,LOUISVILLE,KY,40229,SUPERMARKET WITH PROCESSING,2022/11/11 05:00:00+00,97,,PIC PAC,,11015
117439,1730258,OTHER,SOUL HI VEGAN,,1860 MELLWOOD AVE STE 115,,LOUISVILLE,KY,40206,FOOD SERVICE,2022/11/11 05:00:00+00,99,,SOUL HI VEGAN,,11016
117440,1732749,REGULAR,MCDONALD'S,,7724 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2023/01/30 05:00:00+00,99,A,MCDONALD'S,,11017
117440,1730259,OTHER,MCDONALD'S,,7724 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2022/11/28 05:00:00+00,100,,MCDONALD'S,,11018
117441,1732745,REGULAR,FA & ADA AFRICAN CUISINE,,4806 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2023/01/26 05:00:00+00,98,A,FA & ADA AFRICAN CUISINE,,11019
117441,1730274,OTHER,FA & ADA AFRICAN CUISINE,,4806 BARDSTOWN RD,,LOUISVILLE,KY,40291,FOOD SERVICE,2022/12/06 05:00:00+00,99,,FA & ADA AFRICAN CUISINE,,11020
117442,1731152,REGULAR,COTTAGE INN,,570 EASTERN PKWY,,LOUISVILLE,KY,40217,FOOD SERVICE,2023/01/25 05:00:00+00,95,A,COTTAGE INN,,11021
117442,1730289,OTHER,COTTAGE INN,,570 EASTERN PKWY,,LOUISVILLE,KY,40217,FOOD SERVICE,2022/12/13 05:00:00+00,96,,COTTAGE INN,,11022
117443,1730310,OTHER,SUNERGOS COFFEE,,3922 WILLIS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/12/15 05:00:00+00,100,,SUNERGOS COFFEE,,11023
117443,1730787,REGULAR,SUNERGOS COFFEE,,3922 WILLIS AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2023/01/24 05:00:00+00,100,A,SUNERGOS COFFEE,,11024
117444,1733037,REGULAR,EL SINALOENSE,,5520 FERN VALLEY RD STE 115,,LOUISVILLE,KY,40228,FOOD SERVICE,2023/02/02 05:00:00+00,95,A,EL SINALOENSE,,11025
117444,1730315,OTHER,EL SINALOENSE,,5520 FERN VALLEY RD STE 115,,LOUISVILLE,KY,40228,FOOD SERVICE,2022/12/16 05:00:00+00,97,,EL SINALOENSE,,11026
117445,1730335,OTHER,AA PLUS INC,,2517 7TH STREET RD,,LOUISVILLE,KY,40208,PRE-PACKAGED RETAIL,2022/12/21 05:00:00+00,97,,AA PLUS INC,,11027
117445,1730340,REGULAR,AA PLUS INC,,2517 7TH STREET RD,,LOUISVILLE,KY,40208,PRE-PACKAGED RETAIL,2022/12/21 05:00:00+00,98,,AA PLUS INC,,11028
117449,1730359,OTHER,JAGGERS #747,,10690 WESTPORT RD,,LOUISVILLE,KY,40241,FOOD SERVICE,2023/01/11 05:00:00+00,99,,JAGGERS #747,,11029
117449,1735072,REGULAR,JAGGERS #747,,10690 WESTPORT RD,,LOUISVILLE,KY,40241,FOOD SERVICE,2023/02/14 05:00:00+00,99,A,JAGGERS #747,,11030
117451,1734433,REGULAR,JAMAICAN JERK CENTER,,2220 HIKES LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2023/02/09 05:00:00+00,96,A,JAMAICAN JERK CENTER,,11031
117451,1730361,OTHER,JAMAICAN JERK CENTER,,2220 HIKES LN,,LOUISVILLE,KY,40218,FOOD SERVICE,2023/01/12 05:00:00+00,99,,JAMAICAN JERK CENTER,,11032
117453,1730403,OTHER,NOSTALGIC RESTAURANT AND COCKTAIL HOUSE,,1306 BARDSTOWN RD,,LOUISVILLE,KY,40204,FOOD SERVICE,2023/01/17 05:00:00+00,98,,NOSTALGIC RESTAURANT AND COCKTAIL HOUSE,,11033
117454,1738031,COMPLAINT,CONGOLESE FOOD AND CLOTHING,,1851 BERRY BLVD,,LOUISVILLE,KY,40215,PRE-PACKAGED RETAIL,2023/02/13 05:00:00+00,0,,CONGOLESE FOOD AND CLOTHING,,11034
117454,1734852,REGULAR,CONGOLESE FOOD AND CLOTHING,,1851 BERRY BLVD,,LOUISVILLE,KY,40215,PRE-PACKAGED RETAIL,2023/02/13 05:00:00+00,95,,CONGOLESE FOOD AND CLOTHING,,11035
117454,1730404,OTHER,CONGOLESE FOOD AND CLOTHING,,1851 BERRY BLVD,,LOUISVILLE,KY,40215,PRE-PACKAGED RETAIL,2023/01/13 05:00:00+00,99,,CONGOLESE FOOD AND CLOTHING,,11036
117464,1730645,OTHER,ANTOJITOS MAMA LUCY,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,2023/01/24 05:00:00+00,100,,ANTOJITOS MAMA LUCY,,11037
117477,1731289,OTHER,SNOW FRUIT @ KROGER L-785,,4915 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2022/10/24 04:00:00+00,100,,SNOW FRUIT @ KROGER L-785,,11038
117477,1731818,REGULAR,SNOW FRUIT @ KROGER L-785,,4915 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2023/01/27 05:00:00+00,100,A,SNOW FRUIT @ KROGER L-785,,11039
